--- SHEET: CTSW101 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,2026-06-26 00:00:00,,,,,Đúng yêu cầu,,,,
,,,,,"message-id
Trong tool là: ID",Đúng 1 phần,,,,
,CTSW101 – Convert an AMHS UNAWARE AMQP Message to AMHS,,,,,Sai hoặc không có,,,,
,send text,,,,,,,,,
,Thành phần AMQP,Thuộc tính,Bắt buộc,Ghi chú,,,,,,
,Header,priority,✔,CTSW101 yêu cầu dùng default value = 4. Gateway sẽ ánh xạ sang ATS-message-priority/IPM precedence.,amqp_priority: 4,priority: 4,,,ok,
,Properties,message-id,✔,Bắt buộc theo CTSW102. Thường do thư viện AMQP sinh tự động.,amhs_ipm_id: IPM.CTSW101.1783497373616,,,,ok,
,Properties,creation-time,✔,Gateway dùng để sinh Filing Time (DDhhmm).,creation_time: 1783498022494,,,,ok,
,Properties,content-type,✔,text/plain; charset=utf-8.,"content_type: text/plain; charset=""utf-8""",,,,,
,Application Properties,amhs_recipients,✔,Địa chỉ AMHS đích (AFTN 8 ký tự hoặc địa chỉ Gateway cấu hình hỗ trợ).,amhs_originator:,  amhs_recipients: ,,,Chưa có giá trị,
,Application Data,amqp-value,✔,Chuỗi văn bản (UTF-8). Không dùng data đối với CTSW101.,"amqp-value = ""THIS IS A TEST MESSAGE FROM SWIM""",,,,Chưa có,
,,,,,,,,,,
,Send binary,,,,,,,,,
,Phần của AMQP,Thuộc tính,Bắt buộc,Giá trị yêu cầu,Giá tri thực tế,,,Pass/fail,Đề xuất sửa dổi,
,Header,priority,✔,4 (default),amqp_priority: 4,,,,,
,Properties,message-id,✔,bất kỳ,amhs_ipm_id: IPM.CTSW101.1783498987504,,,"message-id
Trong tool là: ID",Properties,ID của chính AMQP Message do ứng dụng hoặc broker tạo. Đây là trường chuẩn của AMQP 1.0.
,,,,,,,,amhs_ipm_id,Application Properties,ID của điện văn AMHS (IPM Identifier). Chỉ dùng khi Gateway làm việc ở chế độ AMHS-aware hoặc khi ánh xạ từ AMHS sang AMQP.
,Properties,creation-time,✔,UTC,,,,creation_time: 1783499525472,,
,Properties,content-type,✔,application/octet-stream,,,,content_type: application/octet-stream,,
,Application Properties,amhs_recipients,✔,Địa chỉ AMHS nhận,,,, amhs_originator:,  amhs_recipients:,Body ---- Data { 00 11 22 33 44 55 66 77 88 99 AA BB CC DD EE FF }
,Body,Binary Data,✔,Dữ liệu nhị phân,Body (Data Section),Binary payload,,không có data,,
,,,,,,,,,,
,"Sau khi đưa amqp vào gw, đầu ra amhs phải tự tạo:",,,,,,,,,
,,"Điều này có nghĩa là sau khi Gateway đã tạo điện văn AMHS, người kiểm thử sẽ kiểm tra điện văn AMHS đầu ra (MTE), không phải điện văn AMQP đầu vào.",,,,,,,,
,,,,,,,,,,
,,Nói cách khác:,,,,,,,,
,,,,,,,,,,
,,AMQP,,,,,,,,
,,   │,,,,,,,,
,,   ▼,,,,,,,,
,,Gateway,,,,,,,,
,,   │,,,,,,,,
,,   ▼,,,,,,,,
,,AMHS Message,,,,,,,,
,,        │,,,,,,,,
,,        ├── PerMessageIndicators,,"alternateRecipientAllowed = true; 
disclosureOfOtherRecipients = false; 
implicitConversionProhibited = false; 
contentReturnRequested = false;",,,,,,
,,        │      alternate-recipient-allowed,,,,,,,,
,,        │      disclosure-of-other-recipients-prohibited,,,,,,,,
,,        │      implicit-conversion-allowed,,,,,,,,
,,        │      content-return-not-requested,,,,,,,,
,,,,,,,,,,
,,Đây là các giá trị mà Gateway phải tự thiết lập.,,,,,,,,


--- SHEET: CTSW102 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
CTSW102 – Reject an AMQP Message if it does not contain the Minimum Information Necessary to Transfer to AMHS (AMHS UNAWARE),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STT,Thành phần AMQP,Vị trí,Bắt buộc,Case 1,,Case 2,,Case 3,,Case 4,,Case 5,,Case 6,
,,,,,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test
,1,priority,Header,✔,,10,,,,,,,,,,
,2,message-id,Properties,✔,ID,,,,,,,,,,,
,3,creation-time,Properties,✔,,,,,,,,,,,,
,4,content-type,Properties,✔,,,,,,,,,,,,
,5,amhs_recipients,Application Properties,✔,Ko có,,,,,,,,,,,
,6,data hoặc amqp-value,Body: Text,✔,,,Text ,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,"Reject, log, ra CP",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STT,Thành phần AMQP,Vị trí,Bắt buộc,Case 1,,Case 2,,Case 3,,Case 4,,Case 5,,Case 6,
,,,,,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test,Bắt buộc,Bài test
,1,priority,Header,✔,,10,,,,,,,,,,
,2,message-id,Properties,✔,không có,,,,,,,,,,,
,3,creation-time,Properties,✔,,,,,,,,,,,,
,4,content-type,Properties,✔,,,,,,,,,,,,
,5,amhs_recipients,Application Properties,✔,Ko có,,,,,,,,,,,
,CTSW110 – Reject an AMQP message with unsupported content-type,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Sub-case 1,,Sub-case 2,,Sub-case 3,,Sub-case 4,,Sub-case 5,,Sub-case 6,
,,,,,"content-type = """"
Body
amqp-value : không có",,"content-type = """"
",,"content-type =""application/octet-stream""
Body
amqp-value : không có",,"content-type =""text/plain""
",,"content-type ""image/jpeg""
hoặc
application/pdf ...
",,"content-type ""text/plain""
",
,,,,,Body amqp-value : không có,,"amqp-value : không có
data : có Binary Data",,"Body
amqp-value : không có
data : có Binary Data
",,"Body
amqp-value : có String
data : không có
",,Body có thể có hoặc không,,"Body
amqp-value : có

data : cũng có Binary Data
Có đồng thời
•	Data Section 
•	AmqpValue Section ",
,Thành phần,Thuộc tính,Bắt buộc,Ghi chú,,,,,,,,,,,,
,Properties,message-id,✔,ID của AMQP message,ID,,ID,,ID,,ID,,ID,,ID,
,Properties,creation-time,✔,Thời điểm tạo,Sai,,Sai,,Sai,,Sai,,Sai,,Sai,
,Properties,content-type,✔,Giá trị thay đổi theo từng sub-case,,application/octet-stream,,application/octet-stream,,application/octet-stream,,,,Sai,,Sai
,Application Properties,amhs_recipients,✔,Để Gateway biết người nhận AMHS,,o có,,o có,,o có,,o có,,o có,,o có
,Body,amqp-value hoặc data,tùy sub-case,Là nội dung cần kiểm thử,,o có,,Bin hay Text ?,,Bin hay Text ?,,,,,,Sai
,,,,,,,,,,,,,,,,
,,,,,Reject,,Reject,,Accept,,Accept,,Reject,,Reject,
,,,,,,,,,Gateway phải chuyển thành AMHS Binary Body Part,,Gateway chuyển thành AMHS IA5/Text Body Part,,,,Theo Doc 047 chỉ được phép một trong hai loại body cho từng content-type,


--- SHEET: CTSW111 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,CTSW111 – CHECK  if the size in bytes of the payload OF AN AMQP MESSAGE exceeds the maximum configured,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Sub case 1,,Sub case 2,,Sub case 3,,Sub case 3,
,,,,,Text <= Maximum message data size,,Bin <= Maximum message data size,,Text >= Maximum message data size,,Bin <= Maximum message data size,
,Thành phần,Thuộc tính,Bắt buộc,Ghi chú,,,,,,,,
,Properties,message-id,✔,ID của AMQP message,ID,,ID,,ID,,ID,
,Properties,creation-time,✔,Thời điểm tạo,Sai,,Sai,,Sai,,Sai,
,Properties,content-type,✔,Giá trị thay đổi theo từng sub-case,Text,,Bin,,Text,,Text,
,Application Properties,amhs_recipients,✔,Để Gateway biết người nhận AMHS,o có,,o có,,o có,,o có,
,Body,amqp-value hoặc data,tùy sub-case,Là nội dung cần kiểm thử,, 1024 bytes,, 1024 bytes,,1049600.0,,1049600.0
,,,,,Gateway chuyển sang AMHS,,Gateway chuyển sang AMHS,,"Gateway reject.
Không tạo AMHS",,"Gateway reject.
Không tạo AMHS",
,Sub case 1,,,,,,,,,,,
,AmqpValue(String),,,,1. Reject message,,,,,,,
,Điều kiện,,,,Không chỉ bỏ qua.,,,,,,,
,size(amqp-value),,,,Phải coi là lỗi.,,,,,,,
,<= Maximum message data size,,,,2. Ghi log,,,,,,,
,Ví dụ,,,,Ví dụ,,,,,,,
,Nếu Gateway cấu hình,,,,Payload size exceeds Maximum message data size.,,,,,,,
,Maximum message data size = 4096 bytes,,,,3. Report Control Position,,,,,,,
,,,,,"Gateway phải phát sinh alarm/event tới Control Position (màn hình giám sát hoặc hệ thống quản lý), đúng như yêu cầu của bài test.",,,,,,,


--- SHEET: CTSW112 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,CTSW112  –  CHECK IF  an AMQP message addressES more AMHS users than the maximum configured,,,,,,,
,,,,,,,,
,,,Sub case 1,,Sub case 2,,,
,,Set max recep =512,Rec = 512,,Rec = 513,,,
,Thành phần,Thuộc tính,,,,,,
,Header,priority,o có,,o có,,,2 case không load được danh sách địa chỉ
,Properties,message-id,o có,,o có,,,
,Properties,creation-time,o có,,o có,,,
,Properties,content-type,o có,,o có,,,
,Application Properties,amhs_recipients,o có,,o có,,,Gateway reject
,Body,Text hoặc Binary,o có,,o có,,,      │
,,,,,,,,      ├── Log
,,,Gateway Accept,,Gateway Reject,,,      ├── Báo Control Position
,amhs_recipients =,,,,,,,      └── Lưu message để xử lý
,VVTSYFYX;,,,,,,,
,VVNBYFYX;,,,,,,,
,VVCRYFYX;,,,,,,,
,...,,,,,,,
,(tổng cộng 513 địa chỉ),,,,,,,


--- SHEET: CTSW113 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,CTSW113 – Incoming receipt and non-receipt notifications (RN and NRN,,,,,,,,
,,,,,,,,,
,,,,Sub case 1,,Sub case 1,,,
,,,,Sinh NRN,,Sinh RN,,,
,Thành phần,Thuộc tính,Bắt buộc,,,,,,B. Sau khi nhận RN hoặc NRN
,Header,priority = 6,✔,,,,,,Gateway phải
,Properties,message-id,✔,ID,,ID,,,✔ ghi log
,Properties,creation-time,✔,Sai,,Sai,,,✔ báo Control Position
,Properties,content-type,✔,,,,,,✔ lưu message
,Application Properties,amhs_recipients,✔,o có,,o có,,,Không yêu cầu
,Body,Text message,✔,,,,,,gửi RN về AMQP
,,,,,,,,,gửi NRN về AMQP
,,,,,,,,,publish event lên queue


--- SHEET: CTSW114 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,CTSW114 – Incoming non-delivery reports (NDR),,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,Yêu cầu,
,Phần AMQP,Thuộc tính,Bắt buộc,,,,,Nội dung,Yêu cầu
,Header,priority,✔,,,,,Điện văn AMQP đầu vào,"Giống CTSW101, không cần thuộc tính NDR đặc biệt"
,Properties,message-id,✔,ID,,,,Sub-case,Chỉ có 01 scenario
,Properties,creation-time,✔,Sai,,,,NDR được tạo bởi,"AMHS Test Tool, không phải AMQP"
,Properties,content-type,✔,,,,,NDR Reason,unable-to-transfer
,Application Properties,amhs_recipients,✔,o có,,,,NDR Diagnostic,Rỗng (empty)
,Body,Text hoặc Binary,✔,,,,,Gateway phải làm,"Nhận NDR, ghi log và báo tới Control Position"
,,,,,,,,Gateway không phải làm,"Không chuyển NDR thành AMQP, không tự động gửi lại message"


--- SHEET: CTSW115 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,CTSW115  –  Incoming AMQP messages with amqp-value and different amhs_bodypart_type  and amhs_content_encoding values,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Sub case 1,,Sub case 2,,Sub case 3,,Sub case 4
,Thành phần AMQP,Thuộc tính,Giá trị,,,,,,,
,Header,priority,mặc định hoặc theo test,,,,,,,
,Properties,message-id,bắt buộc,ID,,ID,,ID,,ID
,Properties,creation-time,bắt buộc,Sai,,Sai,,Sai,,Sai
,Properties,content-type,text/plain; charset=utf-8,,,,,,,
,Application Properties,amhs_recipients,địa chỉ AMHS,o có,,o có,,o có,,o có
,Application Properties,amhs_bodypart_type,theo từng sub case,,,,,,,
,Application Properties,amhs_content_encoding,theo từng sub case,,,,,,,
,Body,amqp-value,chuỗi text,,,,,,,
,,,,,,,,,,
,,,,Input,,Input,,Input,,Input
,,,,content-type,,amhs_bodypart_type = ia5-text-body-part,,amhs_bodypart_type = general-text-body-part,,amhs_bodypart_type = general-text-body-part
,,,,--------------,,,,,,
,,,,text/plain; charset=utf-8,,amhs_content_encoding = IA5,,amhs_content_encoding = ISO-646,,amhs_content_encoding = ISO-8859-1
,,,,Application Properties,,Body,,Body,,Body
,,,,amhs_bodypart_type = ia5-text,,Lorem ipsum i5bpt,,Lorem ipsum 646,,Lorem ipsum 8859
,,,,,,,,,,
,,,,amhs_content_encoding = IA5,,,,,,
,,,,Body,,Gateway phải sinh,,Gateway sinh,,Gateway sinh
,,,,amqp-value,,IA5 Text Body Part,,General Text Body Part,,General Text Body Part
,,,,,,(loại ia5-text-body-part),,Character Set,,Character Set
,,,,Lorem ipsum,,Character Set,,Basic (ISO-646),,Basic-1 (ISO-8859-1)
,,,,,,IA5,,Text,,Text
,,,,Gateway phải sinh,,Text,,Lorem ipsum 646,,Lorem ipsum 8859
,,,,AMHS,,Lorem ipsum i5bpt,,,,
,,,,IA5 Text Body Part,,,,,,
,,,,Character Set,,,,,,
,,,,IA5,,,,,,
,,,,ATS-message-text,,,,,,
,,,,Lorem ipsum,,,,,,


--- SHEET: CTSW116 ---
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,CTSW116 – Incoming AMQP binary message with ftbp attributes,,,,
,,,,,
,,,,,
,,,,,
,Thành phần,Case 1,,Case 2,
,Header.priority,✔,,✔,
,Properties.message-id,✔,ID,✔,ID
,Properties.creation-time,✔,Sai,✔,Sai
,Properties.content-type=application/octet-stream,✔,,✔,
,Application Property amhs_recipients,✔,o có,✔,o có
,Application Property amhs_ftbp_file_name,✔,,✔,
,Application Property amhs_ftbp_object_size,✔,,✔,
,Application Property amhs_ftbp_last_mod,✔,,✔,
,Application Property swim_compression=gzip,✘,,✔,
,Body = Data(Binary),Binary gốc,o có,Binary đã nén gzip,
,amqp-value,Rỗng (empty),o có,Rỗng (empty),
,,,,,
,,Accept,,Accept,
,,,,Case 2,
,,,,Gateway phải,
,,,,gunzip(payload),
,,,,rồi mới tạo FTBP.,
,,,,"Đầu ra phải chứa nội dung file gốc đã giải nén, không phải dữ liệu gzip.",


